state,SUM,latitude,longitude
New Jersey,3,40.4879,-74.4471
South Carolina,3,33.9336,-80.6878
Maryland,3,39.1158,-77.0526
Michigan,3,42.32,-83.0989
Georgia,3,33.4065,-82.1007
Colorado,3,38.8226,-104.787
Colorado,3,38.8212,-104.786
Indiana,3,41.5921,-87.2755
Pennsylvania,3,40.0542,-75.1514
Tennessee,3,35.2234,-90.0063
New York,3,40.8447,-73.8793
California,3,38.5139,-121.419
Virginia,3,36.8478,-76.24
South Carolina,3,34.0474,-80.93
California,3,33.9123,-118.278
Maryland,3,39.2334,-76.6006
North Carolina,3,35.2262,-78.7377
